id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_78,Scomber colias,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scombriformes,Scombridae,Scomber,Scomber colias,species,2103,0,0,16,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2,0,233,151,14,11,0,0,0,0,0,0,0,1,1,0,0,1
OTU_79,Scomber scombrus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scombriformes,Scombridae,Scomber,Scomber scombrus,species,284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,12,4,8,3,84,45,19,23,0,0,0,0,0,0,0,1,0,0,0,0
OTU_80,Scorpaena,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Scorpaena,NA,genus,20941,7,0,6,1,0,0,3,2,3,2,1,0,0,2,3,5,1,4,5,7,25,2,1,2,2,0,3262,14610,192,2720,2,2,4,3,0,0,3,3,3,1,0,1
OTU_81,Scorpaena scrofa,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Scorpaenidae,Scorpaena,Scorpaena scrofa,species,1251,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,892,346,1,1,0,1,0,0,0,0,0,0,1,0,0,0
OTU_82,Scyliorhinus canicula,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Scyliorhinus canicula,species,3428,1,0,0,0,0,0,0,0,235,214,16,1,509,59,580,542,3,68,4,24,2,1,0,0,1,0,0,9,1,1,1,0,0,1,1,1,102,26,0,0,0,0
OTU_83,Serranus cabrilla,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Serranidae,Serranus,Serranus cabrilla,species,2579,5,0,2,24,1,0,2,2,33,50,0,0,0,0,0,1,0,0,1,0,255,1,3,5,541,29,100,168,45,167,0,0,0,1,0,2,0,0,520,539,0,0
OTU_84,Solea solea,0.988095238,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Solea,Solea solea,species,5018,0,0,0,0,0,0,4162,98,187,523,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
OTU_85,Sparus aurata,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Sparus,Sparus aurata,family,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,10,0,1,0,0,0,0,105,11,0,0,0,0,0,0,0,0,0,0
OTU_86,Spicara,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Spicara,NA,genus,29963,5979,6605,59,100,31,2,177,122,3068,4248,2,1,2,2,0,8,0,3,3,5,124,263,4,23,0,3,1647,860,7,14,243,547,63,60,1,1,8,2,1058,473,4,1
OTU_87,Sprattus sprattus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sprattus,Sprattus sprattus,species,77318,2,10,8,1,0,6,9,4,6,5,2,2,7,3,1,5,0,5,11,6,99,14725,4063,21920,7180,7928,28,4,4732,5443,7,19,13,5,4,9,7,10,9,16,3,8
OTU_88,Squalus acanthias,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias,species,1753,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,622,2,0,0,48,46,75,128,6,122,0,0,1,0,0,0,0,0,0,0,0,0
OTU_89,Squalus blainville,1,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus blainville,species,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,112,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_90,Stomias boa,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Stomiiformes,Stomiidae,Stomias,Stomias boa,species,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,3,34,18,126,6,1,0,0,0,13,2
OTU_91,Thunnus thynnus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus thynnus,species,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_92,Torpedo,0.98,Opisthokonta,Metazoa,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Torpedo,NA,genus,50,1,19,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
OTU_93,Trachinus draco,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Trachinidae,Trachinus,Trachinus draco,species,532,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,2,0,0,34,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_94,Trachurus trachurus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Carangiformes,Carangidae,Trachurus,Trachurus trachurus,species,270892,165,109,1202,677,6431,8435,4151,461,470,1269,28,9,96,25,486,145,54,67,97,198,24300,3246,4951,29446,672,1102,3577,5864,10016,26306,2166,6655,15072,1167,71,21,20174,3402,9527,9631,10,17
OTU_95,Trachyrincus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Macrouridae,Trachyrincus,NA,genus,5007,0,0,0,0,2,0,6,1,0,0,1,0,2,0,0,0,0,2,3,2,1,1,1,2,1,3,0,1,1,1,0,0,2,1,0,0,3,1,0,1,0,0
OTU_96,Trisopterus capelanus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,Trisopterus capelanus,species,917,0,0,0,0,26,4,64,6,2,0,11,0,12,0,5,0,1,0,0,5,3,0,0,0,1,0,2,1,5,3,0,0,383,193,0,0,49,64,2,5,0,0
OTU_97,Uranoscopus scaber,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Uranoscopiformes,Uranoscopidae,Uranoscopus,Uranoscopus scaber,species,500,0,0,0,0,0,0,299,129,14,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_98,Zeus faber,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Zeiformes,Zeidae,Zeus,Zeus faber,species,1330,211,11,36,4,2,0,41,29,3,21,10,0,63,3,3,5,1,5,4,3,30,0,0,0,0,0,3,1,0,0,0,0,1,0,1,11,311,219,2,0,0,0
